authors,title,year,source_title,document_type,cited_by,affiliations,author_keywords,doi,link
"Kim J.H., Kim S.Y., Yun S.-J., Chung J.I., Choi H., Yu H.S., Ha Y.-S., Cho I.-C., Kim H.J., Chung H.C., Koh J.S., Kim W.-J., Park J.-H., Lee J.Y.",Medical travel among non-Seoul residents to seek prostate cancer treatment in medical facilities of Seoul,2019,Cancer Research and Treatment,Article,3,"Department of Urology, Soonchunhyang University Hospital, Soonchunhyang University College of Medicine, Seoul, South Korea; Depart-ment of Public Health and Preventive Medicine, Chungbuk National University Hospital, Cheongju, South Korea; Department of Urology, Chungbuk National University Hospital, Chungbuk National University College of Medicine, Cheongju, South Korea; Department of Urology, Inje University Busan Paik Hospital, Busan, South Korea; Department of Urology, Korea University Ansan Hospital, Korea University College of Medicine, Ansan, South Korea; Department of Urology, Chonnam National University, Medical School, Gwangju, South Korea; Department of Urology, School of Medicine, Kyungpook National University, Daegu, South Korea; Department of Urology, National Police Hospital, Seoul, South Korea; Department of Urology, Konyang University College of Medicine, Daejeon, South Korea; Department of Urology, Yonsei University Wonju College of Medicine, Yonsei University, Wonju, South Korea; Department of Urology, Seoul St. Mary's Hospital, College of Medicine, Catholic University of Korea, 222 Banpo-daero, Seoul, 06591, South Korea; Department of Preventive Medicine, Graduate School of Health Science Business Convergence, Chungbuk National University, 1 Chungdae-ro, Seowon-gu, Cheongju, 28644, South Korea",Geography; Health services accessibility; Neoplasms; Prostate; Prostatectomy,10.4143/crt.2017.468,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059891203&doi=10.4143%2fcrt.2017.468&partnerID=40&md5=629bf5925fd5426f8dfa363cb02e82c7
"Lovelock B., Lovelock K.",“We had a ball … as long as you kept taking your painkillers” just how much tourism is there in medical tourism? Experiences of the patient tourist,2018,Tourism Management,Article,3,"Department of Tourism, University of Otago, PO Box 56, Dunedin, 9054, New Zealand; Department of Public Health, University of Otago, PO Box 7343, Wellington South, 6242, New Zealand",NA,10.1016/j.tourman.2018.05.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048280788&doi=10.1016%2fj.tourman.2018.05.015&partnerID=40&md5=55d9460815c88f1e468f852aa63f7695
"Rosenbusch J., Ismail I.R., Ringle C.M.",The agony of choice for medical tourists: a patient satisfaction index model,2018,Journal of Hospitality and Tourism Technology,Article,3,"Institute of Human Resource Management and Organizations, Hamburg University of Technology, Hamburg, Germany; Graduate School of Business, Universiti Kebangsaan Malaysia, Bangi, Malaysia",Importance-performance map; Interaction quality; Medical tourism; Patient satisfaction index; Service quality,10.1108/JHTT-10-2017-0107,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049596504&doi=10.1108%2fJHTT-10-2017-0107&partnerID=40&md5=0e2ee9d32f6c7e7cd6492b5ffff073ae
"Labonté R., Crooks V.A., Valdés A.C., Runnels V., Snyder J.",Government roles in regulating medical tourism: Evidence from Guatemala,2018,International Journal for Equity in Health,Article,3,"Globalization and Health Equity Research Unit, Faculty of Medicine, University of Ottawa, Ottawa, Canada; Department of Geography, Simon Fraser University, Burnaby, Canada; Department of Anthropology, University of Denver; Denver, Denver, CO, United States; Faculty of Health Sciences, Simon Fraser University, Burnaby, Canada; School of Epidemiology and Public Health, University of Ottawa, Alta Vista Campus, 600 Peter Morand Crescent, Ottawa, ON  K1G 5Z3, Canada",Guatemala; Health equity; Medical tourism; Regulation,10.1186/s12939-018-0866-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055096726&doi=10.1186%2fs12939-018-0866-1&partnerID=40&md5=16dcf3bb72d1ca7bbc4b6772a3089cfc
"Koylu C., Delil S., Guo D., Celik R.N.","Analysis of big patient mobility data for identifying medical regions, spatio-temporal characteristics and care demands of patients on the move",2018,International Journal of Health Geographics,Article,3,"University of Iowa, Department of Geographical and Sustainability Sciences, Iowa City, United States; Istanbul Technical University, Informatics Institute, Istanbul, Turkey; University of South Carolina, Department of Geography, Columbia, United States",Flow mapping; Health care; Patient mobility; Regionalization; Spatial data mining,10.1186/s12942-018-0152-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051027089&doi=10.1186%2fs12942-018-0152-x&partnerID=40&md5=ca512a91aa11d0597669c7afa6a00ce6
"Romão J., Machino K., Nijkamp P.",Integrative diversification of wellness tourism services in rural areas–an operational framework model applied to east Hokkaido (Japan),2018,Asia Pacific Journal of Tourism Research,Article,3,"Hokkaido University, Sapporo, Japan; Tinbergen Institute, Amsterdam, Netherlands",culture; endogenous resources; entrepreneurship; innovation; integrative diversification; nature; product development; regional development; sustainability; Wellness tourism,10.1080/10941665.2018.1488752,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048754471&doi=10.1080%2f10941665.2018.1488752&partnerID=40&md5=3796dd0b766862347a420431f3e29175
Cesario S.K.,Implications of Medical Tourism,2018,Nursing for Women's Health,Article,3,NA,health care globalization; medical tourism; medical travel; reproductive care; women's health,10.1016/j.nwh.2018.03.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047840737&doi=10.1016%2fj.nwh.2018.03.008&partnerID=40&md5=7833c2e114b6a4da689c24dc051eb005
"Um K.-H., Kim S.-M.",Application of Fairness Theory to Medical Tourists' Dissatisfaction and Complaint Behaviors: The Moderating Role of Patient Participation in Medical Tourism,2018,Journal of Social Service Research,Article in Press,3,"Survey & Health Policy Research Center, Dongguk University, Seoul, South Korea; School of Management, Kyung Hee University, Seoul, South Korea, South Korea",complaint behaviors; dissatisfaction; medical tourism; patient participation; Service fairness,10.1080/01488376.2018.1436633,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043310110&doi=10.1080%2f01488376.2018.1436633&partnerID=40&md5=3e91f5189fb74209ec324a9d3ecbe458
"Parchem K., Peck A., Tales K.",A Multidisciplinary Approach to Equipment Use in Pediatric Patient Mobilization,2018,Critical Care Nursing Quarterly,Review,3,"Department of Physical Medicine and Rehabilitation, C.S. Mott Children's and von Voigtlander Women's Hospital, Michigan Medicine, 1540 E. Medical Center Dr, Ann Arbor, MI  48109, United States",ICU; mobility; multidisciplinary team; pediatric equipment,10.1097/CNQ.0000000000000211,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048006210&doi=10.1097%2fCNQ.0000000000000211&partnerID=40&md5=66fb96db355146c3a47cabaacf24a3a6
"Partanen A., Valtola J., Ropponen A., Vasala K., Penttilä K., Ågren L., Pyörälä M., Nousiainen T., Selander T., Mäntymaa P., Pelkonen J., Varmavuo V., Jantunen E.",Preemptive plerixafor injection added to pegfilgrastim after chemotherapy in non-Hodgkin lymphoma patients mobilizing poorly,2017,Annals of Hematology,Article,3,"Department of Medicine, Kuopio University Hospital, P.O.B. 100, 70029 KYS, Kuopio, Finland; Department of Clinical Microbiology, University of Eastern Finland, Kuopio, Finland; Department of Oncology, Central Hospital of Central Finland, Jyväskylä, Finland; Department of Medicine, Central Hospital of Savonlinna, Savonlinna, Finland; The Finnish Medicines Agency, Kuopio, Finland; Department of Medicine, North Karelia Central Hospital, Joensuu, Finland; Science Service Center, Kuopio University Hospital, Kuopio, Finland; Laboratory Center of Eastern Finland, Kuopio, Finland; Department of Medicine, Kymenlaakso Central Hospital, Kotka, Finland",CD34+ cell mobilization; Graft composition; Non-Hodgkin lymphoma; Outcome; Pegfilgrastim; Post-transplant recovery; Preemptive plerixafor,10.1007/s00277-017-3123-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028802524&doi=10.1007%2fs00277-017-3123-6&partnerID=40&md5=06047ebfed0c1e5a1539e79b17eb61e9
Knoll E.-M.,Archipelagic genes: Medical travel as a creative response to limitations and remoteness in the Maldives,2017,Asia Pacific Viewpoint,Article,3,"Austrian Academy of Sciences, Institute for Social AnthropologyVienna, Austria, China",archipelago; biosociality; Maldives; medical travel culture; remoteness; thalassaemia,10.1111/apv.12157,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021406710&doi=10.1111%2fapv.12157&partnerID=40&md5=64389bc22a01484250d4bb5ab0cfef79
"Khan M.J., Chelliah S., Haron M.S., Ahmed S.","Role of travel motivations, perceived risks and travel constraints on destination image and visit intention in medical tourism: Theoretical model",2017,Sultan Qaboos University Medical Journal,Review,3,"International Business Section, School of Management, Universiti Sains MalaysiaPenang, Malaysia; Departments of Marketing, School of Management, Universiti Sains MalaysiaPenang, Malaysia; Organizational Behaviour, School of Management, Universiti Sains MalaysiaPenang, Malaysia",Intentions; Medical Tourism; Motivation; Risks; Theoretical Model; Travel; Trends,10.18295/squmj.2016.17.01.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026451676&doi=10.18295%2fsqumj.2016.17.01.003&partnerID=40&md5=0e523c2002d0f20dcf8984cd5c71b173
DeMicco F.J.,Preface: An introduction to hospitality bridging healthcare (H2H) and medical tourism and wellness,2017,Medical Tourism and Wellness: Hospitality Bridging Healthcare (H2H),Editorial,3,"Department of Hospitality Business Management, Lerner College of Business and Economics, University of Delaware, Newark, DE  19716, United States",NA,10.1201/9781315365671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058610490&doi=10.1201%2f9781315365671&partnerID=40&md5=c2a0ac71d534d670e86771b57c1ea887
"Kim M., Koo D.-W., Shin D.-J., Lee S.-M.",From servicescape to loyalty in the medical tourism industry: A medical clinic’s service perspective,2017,Inquiry (United States),Article,3,"University of Florida, Gainesville, United States; Kangwon Tourism College, Taebaek, South Korea; Sejong University, Seoul, South Korea",Emotion; International medical tourist; Loyalty; Marketing; Medical clinic; Medical tourism; Republic of Korea; Servicescapes; Structural equation modeling,10.1177/0046958017746546,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038255046&doi=10.1177%2f0046958017746546&partnerID=40&md5=6bef2c4c2fc5324c327254334e4b925a
"Hudson S., Thal K., Cárdenas D., Meng F.",Wellness tourism: stress alleviation or indulging healthful habits?,2017,"International Journal of Culture, Tourism, and Hospitality Research",Article,3,"College of Hospitality, Retail and Sport Management, University of South Carolina, Columbia, SC, United States; Department of Management and Marketing, Fort Hays State University, Hays, KS, United States; David Cárdenas and Fang Meng are both based at the College of Hospitality, Retail and Sport Management, University of South Carolina, Columbia, SC, United States",Theory of planned behavior; Wellness tourism,10.1108/IJCTHR-09-2015-0111,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017296436&doi=10.1108%2fIJCTHR-09-2015-0111&partnerID=40&md5=ba31f4356e1cf9a88c4fd5279767df42
"Huh J.-H., Kim H.-B., Kim J.",A method of modeling of basic big data analysis for Korean medical tourism: A machine learning approach using apriori algorithm,2017,Lecture Notes in Electrical Engineering,Conference Paper,3,"Department of Software, Catholic University of Pusan, Busan, South Korea; Department of Computer Engineering, Pukyong National University, Busan, South Korea",Apriori algorithm; Big data; Machine learning; Medical tourism; R,10.1007/978-981-10-4154-9_91,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016099056&doi=10.1007%2f978-981-10-4154-9_91&partnerID=40&md5=fefbbfa5bf36d1e9ab6be4d532b872fb
"Ebrahim A.H., Ganguli S.",Strategic priorities for exploiting Bahrain’s medical tourism potential,2017,Journal of Place Management and Development,Article,3,"College of Business and Finance, Ahlia University, Manama, Bahrain; Department of Accounting and Economics, Ahlia University, Manama, Bahrain",Bahrain; Economic diversification; GCC; Medical services providers; Medical tourism; Medical tourism potentiators,10.1108/JPMD-03-2016-0011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013236924&doi=10.1108%2fJPMD-03-2016-0011&partnerID=40&md5=4abc91ba8e34442d4b422e9f49edd485
"Whitmore R., Crooks V.A., Snyder J.",A qualitative exploration of how Canadian informal caregivers in medical tourism use experiential resources to cope with providing transnational care,2017,Health and Social Care in the Community,Article,3,"Department of Geography, Simon Fraser University, Burnaby, BC, Canada; Faculty of Health Sciences, Simon Fraser University, Burnaby, BC, Canada",Canada; family caregiver; informal care-giving; international healthcare; medical tourism,10.1111/hsc.12302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949669685&doi=10.1111%2fhsc.12302&partnerID=40&md5=daf8b1694724407ea5c73292404092e9
"Pathumporn J., Suphan K.","Behaviol's of medical tourists, who use medical tourism agencies in Thailand",2016,International Business Management,Article,3,"Department of Tourism, Faculty of Management Science, KhonKaen University, KhonKaen, Thailand",Bangkok; Behaviors; Medical tourism; Medical tourism agencies; Medical tourists,10.3923/ibm.2016.512.516,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947594179&doi=10.3923%2fibm.2016.512.516&partnerID=40&md5=b23b3e752c53683123c1ad69d5ae3029
Kruizinga P.,Health tourism and health promotion at the coast,2016,The Routledge Handbook of Health Tourism,Book Chapter,3,"HZ University, Netherlands; Wageningen University and Research Centre, Netherlands",NA,10.4324/9781315693774,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020248851&doi=10.4324%2f9781315693774&partnerID=40&md5=cb0346affdb52272a9181d8042ccc25a
"Ulaş D., Anadol Y.",A case study for medical tourism: investigating a private hospital venture in Turkey,2016,Anatolia,Article,3,"Faculty of Political Sciences, Ankara University, Ankara, Turkey; College of Business Administration, University of Dubai, Dubai, United Arab Emirates",Health tourism; Medical marketing; Medical tourism; Private hospital; Strategic marketing; SWOT and TOWS matrix,10.1080/13032917.2016.1191763,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974777788&doi=10.1080%2f13032917.2016.1191763&partnerID=40&md5=84aa2064890d7d70ef852e370e7d7031
